danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.795,0.678,11,-7.905,0,0.0586,0.0398,0.35,0.072,0.788,101.032,155965,4
0.721,0.481,7,-6.199,0,0.061,0.191,5.85e-06,0.11,0.597,115.007,204880,4
0.639,0.368,7,-8.575,1,0.0291,0.811,0.0,0.179,0.434,96.043,136667,3
0.406,0.5,4,-8.452,0,0.0501,0.192,0.0,0.175,0.0905,157.984,306847,4
0.542,0.578,10,-6.094,0,0.0501,0.533,0.00756,0.556,0.399,143.646,113604,4
0.826,0.86,7,-3.914,1,0.119,0.0056,0.273,0.422,0.766,121.074,122520,4
0.486,0.64,3,-8.027,1,0.0551,0.136,7.58e-05,0.105,0.289,122.017,267256,4
0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,178156,4
0.657,0.372,4,-14.11,0,0.0476,0.835,0.0136,0.0981,0.919,188.011,230162,4
0.537,0.421,5,-8.72,1,0.0285,0.827,0.0,0.138,0.524,98.224,184061,4
0.771,0.446,4,-7.432,0,0.0633,0.203,7.17e-05,0.321,0.321,115.017,169565,4
0.726,0.804,6,-4.775,0,0.078,0.0348,5.59e-06,0.361,0.644,90.983,153016,4
0.511,0.464,7,-10.765,1,0.0383,0.256,4.2e-06,0.132,0.289,123.412,225426,4
0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,210689,3
0.599,0.42,10,-11.637,1,0.0645,0.843,0.000262,0.103,0.506,93.981,303933,4
0.644,0.872,6,-1.54,0,0.0417,0.164,0.0,0.363,0.378,131.016,214973,4
0.509,0.359,2,-8.993,1,0.0279,0.879,0.0289,0.19,0.329,155.799,260346,4
0.471,0.726,11,-8.061,0,0.0433,0.0629,0.0719,0.296,0.475,120.035,170500,4
0.599,0.907,1,-2.332,1,0.153,0.0027,0.0,0.396,0.259,154.986,227613,4
0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,229938,4
0.697,0.82,5,-4.502,1,0.0308,0.1,0.0,0.0631,0.502,136.054,159080,4
0.768,0.295,5,-10.467,1,0.0735,0.489,0.000358,0.0993,0.791,98.084,131020,4
0.452,0.579,2,-5.658,1,0.0755,0.0181,0.0,0.192,0.297,133.899,162685,4
0.518,0.368,11,-7.76,0,0.0353,0.855,4.9e-06,0.119,0.234,141.934,205484,4
0.589,0.908,8,-4.433,1,0.109,0.0151,0.0,0.338,0.501,170.019,198817,4
0.421,0.394,11,-8.312,1,0.0277,0.863,4.74e-06,0.0984,0.399,96.192,211000,3
0.665,0.577,0,-9.074,1,0.0644,0.438,0.0,0.421,0.318,109.978,203000,4
0.209,0.142,3,-11.37,1,0.0416,0.902,0.95,0.0945,0.0386,71.02,103500,3
0.273,0.405,0,-5.81,1,0.0298,0.735,0.0,0.189,0.534,89.48,271169,3
0.424,0.151,4,-12.538,0,0.0425,0.9,0.0,0.138,0.406,139.9,143988,5
0.876,0.578,6,-1.275,1,0.122,0.431,3.99e-06,0.0716,0.721,86.618,131538,5
0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,137773,4
0.838,0.65,9,-8.951,1,0.121,0.35,0.116,0.0946,0.193,121.934,125994,4
0.708,0.356,1,-9.738,1,0.075,0.437,6.54e-05,0.112,0.569,83.679,263185,4
0.782,0.596,8,-11.917,0,0.142,0.806,0.0305,0.109,0.854,88.986,188090,4
0.59,0.562,11,-9.607,0,0.0505,0.0637,0.0,0.105,0.561,140.835,253077,4
0.705,0.773,8,-4.21,0,0.044,0.0245,8.28e-06,0.102,0.963,144.025,188625,4
0.782,0.507,8,-12.12,0,0.0837,0.109,0.0,0.179,0.433,100.03,134400,4
0.416,0.473,9,-9.726,0,0.0351,0.553,1.2e-06,0.168,0.167,118.354,191695,3
