genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
brutal death metal,0.109,0.993,7,-5.163,1,0.148,0.0,0.754,0.376,0.0944,175.333,2Bi4o45IocQvjtugxrPRVJ,115550,3
brutal death metal,0.242,0.978,1,-7.627,1,0.103,2.19e-05,0.861,0.0941,0.193,105.342,6m8XbcZ3vHhcwXUnoYLzSO,131280,3
black metal,0.454,0.98,6,-5.706,0,0.127,2.83e-05,0.623,0.0966,0.144,100.007,5QsYwX1DDvuhpsOCaCn4YP,261187,4
dutch death metal,0.231,0.953,6,-5.943,0,0.206,7.6e-05,0.0144,0.0771,0.101,90.146,1pQiTYUI2CXrJB4jIqHca4,319493,4
brutal death metal,0.31,0.969,7,-6.018,1,0.0922,0.0568,0.0645,0.611,0.0799,83.838,5BXuKHeHbh7Y61u9igdUQO,282667,4
cavernous death metal,0.286,0.991,2,-3.053,1,0.153,0.00128,0.0138,0.346,0.11,169.122,29EV59OpeBxvncEGHTBO5g,277720,4
unknown,0.392,0.964,10,-4.441,0,0.0644,7.13e-05,0.0387,0.106,0.269,167.024,0faXHILILebCGnJBPU6KJJ,200547,4
death metal,0.289,0.949,6,-7.588,0,0.0991,0.0359,0.301,0.36,0.18,77.358,6w21utxaH34BS9vDEp8QGn,178973,4
grim death metal,0.247,0.944,0,-3.129,1,0.0459,3.29e-05,0.858,0.477,0.338,95.011,6oWc1Tzl6aJFFMWRDUmaQt,217040,4
black metal,0.464,0.892,1,-7.232,1,0.0819,0.000107,0.0129,0.364,0.306,125.016,4OpmIxExuFEkc7yP0MYRYQ,162587,4
brutal death metal,0.284,0.967,3,-9.553,1,0.132,0.000163,0.911,0.275,0.175,111.166,1XM1xWWhp0PvgAb9PthNPd,268427,4
alternative metal,0.245,0.933,1,-10.659,1,0.167,1.14e-05,0.938,0.166,0.152,150.566,1XkIdOFdhSdtAqokLZc1Bl,294560,4
deathrash,0.221,0.941,2,-6.662,1,0.0788,1.41e-06,0.117,0.351,0.189,113.236,6SjRA2uuTOwXxErnp3SfDZ,272688,4
alternative metal,0.248,0.979,2,-9.544,1,0.105,0.00032,0.765,0.293,0.198,102.372,7lOGvp9WlpD1K04dM8svcK,285507,4
dance-punk,0.281,0.945,7,-5.722,1,0.162,0.0817,0.892,0.163,0.173,124.48,1ijn4lwyA92eCNfIkgQMV9,248031,4
french death metal,0.262,0.937,1,-7.237,0,0.107,2.75e-05,0.668,0.51,0.318,104.912,46NuBcPN0BlWKzj7ZOYybq,211400,4
brutal death metal,0.251,0.989,1,-4.739,0,0.0859,2.42e-06,0.926,0.0336,0.0641,127.406,333wNoGaCJtoT2IB1E84ux,286787,4
