danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.448,0.974,2,-4.799,1,0.116,0.00855,0.584,0.774,0.404,179.029,258533,4
0.664,0.746,7,-5.174,1,0.304,0.0227,0.0,0.144,0.509,79.525,258273,4
0.588,0.479,1,-7.039,1,0.281,0.604,7.2e-06,0.527,0.434,150.414,460573,4
0.761,0.637,7,-8.169,1,0.0268,0.439,0.0082,0.102,0.656,125.115,235387,4
0.465,0.993,0,-1.734,1,0.0903,0.000354,0.0335,0.464,0.204,92.472,215000,4
0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,166707,4
0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4
0.71,0.616,4,-11.647,0,0.337,0.189,1.7e-05,0.0791,0.548,168.383,257467,4
0.427,0.703,4,-6.84,0,0.0586,0.0739,0.673,0.206,0.186,124.431,408013,4
0.727,0.752,4,-9.301,0,0.399,0.412,0.0,0.464,0.806,85.877,86827,4
0.366,0.974,0,-4.849,0,0.178,1.63e-05,0.0476,0.344,0.126,200.027,264880,4
0.67,0.7,1,-7.893,1,0.196,0.576,5.34e-06,0.226,0.648,69.986,160293,4
0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,137142,4
0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,4
0.691,0.74,8,-5.884,1,0.298,0.0887,0.0,0.149,0.41,78.025,272379,4
0.815,0.657,6,-9.709,1,0.141,0.0238,0.0021,0.299,0.617,107.035,146375,4
0.657,0.567,11,-9.799,0,0.172,0.51,5.55e-05,0.464,0.749,145.747,183853,4
0.754,0.54,5,-8.326,1,0.0266,0.687,7.51e-05,0.0868,0.79,101.738,168554,4
0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,280000,1
0.295,0.296,5,-13.94,1,0.0291,0.0936,0.000213,0.128,0.384,180.756,238400,3
0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,285907,4
0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.176,187667,3
0.477,0.366,7,-13.227,1,0.0434,0.542,0.00586,0.181,0.689,88.179,180573,4
0.557,0.306,3,-20.013,1,0.0339,0.585,0.000377,0.054,0.474,73.143,209768,4
0.801,0.723,10,-4.985,0,0.0689,0.0713,0.154,0.0675,0.883,109.03,180518,4
0.626,0.485,5,-11.174,0,0.054,0.769,0.0,0.444,0.958,89.767,122947,4
0.778,0.667,11,-7.273,1,0.0258,0.0514,0.0312,0.092,0.964,96.954,233893,4
0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,174000,4
0.733,0.598,2,-8.228,1,0.0278,0.212,3.71e-06,0.156,0.935,107.732,265960,4
0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,348333,4
0.512,0.0982,0,-17.074,1,0.0333,0.784,0.00417,0.254,0.181,138.321,203187,3
0.616,0.412,9,-8.34,1,0.0366,0.609,0.0,0.0695,0.699,110.562,143613,4
0.471,0.649,0,-7.253,1,0.038,0.78,0.00667,0.236,0.624,184.839,105080,4
0.298,0.895,9,-7.647,0,0.0547,0.0283,0.00574,0.305,0.544,173.737,368507,4
0.488,0.133,8,-15.865,1,0.0362,0.895,0.0,0.0595,0.289,128.123,200000,4
0.561,0.559,10,-6.026,1,0.174,0.766,0.0,0.342,0.504,81.535,197973,4
0.688,0.197,5,-12.688,1,0.0399,0.799,0.0,0.178,0.555,104.698,184707,4
0.536,0.696,4,-6.818,0,0.0365,0.134,3.19e-06,0.287,0.683,117.179,214027,4
0.64,0.81,4,-10.19,1,0.033,0.031,2.22e-06,0.0492,0.804,122.868,247293,4
0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,261933,4
0.611,0.813,9,-7.689,0,0.0279,0.339,0.898,0.224,0.821,140.112,209573,4
0.512,0.322,0,-12.694,1,0.124,0.848,0.0,0.71,0.451,96.92,194133,4
0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293,4
0.711,0.833,11,-12.756,1,0.0851,0.0144,3.46e-06,0.303,0.756,103.153,203227,4
0.566,0.724,1,-4.574,1,0.323,0.00102,0.0,0.158,0.407,81.774,225267,4
0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,363240,4
0.481,0.851,7,-4.528,1,0.127,0.0846,0.907,0.178,0.848,174.144,263187,4
